N,D,K_pairs,surface,seed,condition,E_mu,E_Sigma,drift_loss,diff_loss,MTE@0.1,MTE@0.5,MTE@1.0,W2@1.0,MMD@1.0,survival@1.0,ae_loss,recon_per_dim,phase1_converged
20,11,4,paraboloid,42,baseline,0.8652,1.1968,0.013708,0.016858,0.5919,1.4374,2.1291,1.8635,0.2193,0.765,,,
20,11,4,paraboloid,42,K(Phat),0.5032,0.5741,0.012247,0.012596,0.5671,1.3791,2.0636,1.853,0.2198,0.765,,,
20,11,4,paraboloid,1042,baseline,0.3938,0.4743,0.005286,0.01291,1.2026,2.1432,2.8092,1.8017,0.222,0.72,,,
20,11,4,paraboloid,1042,K(Phat),0.2116,0.3074,0.003611,0.011411,1.191,2.107,2.7448,1.7154,0.2149,0.72,,,
20,11,4,paraboloid,2042,baseline,0.1785,0.1856,0.005523,0.010305,1.5205,2.9205,3.3147,1.7488,0.2364,0.785,,,
20,11,4,paraboloid,2042,K(Phat),0.1018,0.0885,0.005365,0.009816,1.5259,2.9014,3.2629,1.6927,0.2355,0.785,,,
20,11,4,paraboloid,3042,baseline,0.1476,0.1792,0.002909,0.046448,1.0867,2.0622,2.7626,1.871,0.2437,0.745,,,
20,11,4,paraboloid,3042,K(Phat),0.1059,0.2126,0.001742,0.043105,1.0482,2.0053,2.7278,1.8906,0.2524,0.745,,,
20,11,4,paraboloid,4042,baseline,0.3858,0.4291,0.006149,0.046835,0.9757,2.1362,2.5664,1.7771,0.2124,0.76,,,
20,11,4,paraboloid,4042,K(Phat),0.26,0.4111,0.005357,0.026,1.09,2.2713,2.6595,1.4993,0.1682,0.76,,,
20,11,4,paraboloid,5042,baseline,0.2847,0.2471,0.006441,0.010034,1.5059,2.7838,3.4576,2.1279,0.284,0.765,,,
20,11,4,paraboloid,5042,K(Phat),0.0953,0.1423,0.003915,0.008196,1.4998,2.7269,3.3225,1.9964,0.2758,0.765,,,
20,11,4,paraboloid,6042,baseline,0.3661,0.3041,0.006066,0.016805,0.9066,1.7709,1.9942,1.2566,0.1105,0.73,,,
20,11,4,paraboloid,6042,K(Phat),0.269,0.6505,0.003726,0.01013,0.6537,1.3044,1.7409,1.7755,0.2548,0.73,,,
20,11,4,paraboloid,7042,baseline,0.191,0.3099,0.012585,0.037444,1.1054,2.1631,2.6701,1.6965,0.2053,0.765,,,
20,11,4,paraboloid,7042,K(Phat),0.0667,0.1175,0.007028,0.013238,1.0948,2.1519,2.6291,1.6475,0.1962,0.765,,,
20,11,4,paraboloid,8042,baseline,0.252,0.5456,0.010351,0.053912,0.9301,1.8577,2.0897,1.5052,0.1366,0.795,,,
20,11,4,paraboloid,8042,K(Phat),0.1643,0.4008,0.009281,0.036328,0.9118,1.8446,2.0525,1.4463,0.1356,0.795,,,
20,11,4,paraboloid,9042,baseline,0.284,0.2997,0.003972,0.022885,0.5641,1.237,2.0498,1.6885,0.2132,0.76,,,
20,11,4,paraboloid,9042,K(Phat),0.2195,0.4695,0.004757,0.009987,0.5801,1.2326,2.0259,1.7038,0.2023,0.76,,,
20,11,4,hyperbolic_paraboloid,42,baseline,0.1333,0.1065,0.004743,0.004822,1.038,2.517,3.0474,1.8889,0.2357,0.765,,,
20,11,4,hyperbolic_paraboloid,42,K(Phat),0.0851,0.1416,0.004183,0.004967,1.0339,2.5086,3.0823,1.8868,0.2276,0.765,,,
20,11,4,hyperbolic_paraboloid,1042,baseline,0.1397,0.113,0.00511,0.003377,1.14,1.9274,2.5046,1.2613,0.1714,0.72,,,
20,11,4,hyperbolic_paraboloid,1042,K(Phat),0.1149,0.0729,0.004982,0.002734,1.1401,1.9314,2.5271,1.2833,0.1671,0.72,,,
20,11,4,hyperbolic_paraboloid,2042,baseline,0.0881,0.1211,0.004635,0.005963,0.9447,2.2461,2.8784,1.5231,0.1986,0.785,,,
20,11,4,hyperbolic_paraboloid,2042,K(Phat),0.0528,0.0483,0.003849,0.006356,0.9419,2.2734,2.8375,1.5394,0.1824,0.785,,,
20,11,4,hyperbolic_paraboloid,3042,baseline,0.154,0.1299,0.005799,0.046113,1.1708,2.4277,3.0175,1.514,0.1628,0.745,,,
20,11,4,hyperbolic_paraboloid,3042,K(Phat),0.0581,0.1312,0.005082,0.012898,1.3168,2.4915,2.9307,1.4267,0.1531,0.745,,,
20,11,4,hyperbolic_paraboloid,4042,baseline,0.1323,0.1386,0.00565,0.008144,1.5162,2.7785,3.0145,1.4824,0.1902,0.76,,,
20,11,4,hyperbolic_paraboloid,4042,K(Phat),0.1219,0.6032,0.002747,0.009178,1.5262,2.7398,2.9375,1.2458,0.1386,0.76,,,
20,11,4,hyperbolic_paraboloid,5042,baseline,0.1526,0.2379,0.002427,0.006895,1.4213,2.6205,3.1078,1.341,0.1423,0.765,,,
